-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2010 through 11/21/2025 in LST
Location: latitude  11.5662   longitude 104.882 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 9.54 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
PS              MERRA-2 Surface Pressure (kPa) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,RH2M,WS10M,WD10M,PS,PRECTOTCORR
2010,3,11,37.79,23.83,31.09,42.44,3.79,71.9,101.37,0.03
2010,3,12,39.12,25.69,32.34,46.76,2.48,169.2,101.23,0.48
2010,3,13,39.18,26.01,32.39,48.51,3.05,180.5,101.07,0.49
2010,3,14,38.58,26.57,32.02,53.08,3.12,169.3,100.91,4.94
2010,3,15,39.39,25.54,32.09,50.34,2.79,168.7,100.86,0.0
2010,3,16,39.9,26.08,32.07,48.8,4.45,133.0,100.95,0.19
2010,3,17,40.01,25.67,32.41,46.98,3.48,80.6,101.11,0.0
2010,3,18,39.47,25.95,32.16,43.64,4.0,70.2,101.12,0.0
2010,3,19,38.25,26.06,31.72,43.33,2.86,91.8,100.99,0.0
2010,3,20,38.59,25.99,32.32,49.26,3.28,172.8,100.84,0.01
2010,3,21,38.96,26.49,32.49,48.36,3.71,164.3,100.73,0.11
2010,3,22,39.1,26.53,32.73,49.02,4.14,160.0,100.64,0.0
2010,3,23,38.96,26.57,32.72,49.15,4.08,173.6,100.58,0.0
2010,3,24,40.16,27.36,33.77,47.47,2.16,186.7,100.59,0.0
2010,3,25,40.15,28.09,33.98,49.74,2.53,180.6,100.6,4.59
2010,3,26,29.85,24.4,27.23,71.78,4.42,73.7,100.98,4.78
2010,3,27,36.64,23.34,29.56,63.94,2.87,34.6,101.02,3.91
2010,3,28,37.75,25.07,31.2,58.78,3.08,80.8,100.94,1.18
2010,3,29,37.59,26.39,31.01,59.98,3.13,110.9,100.96,4.28
2010,3,30,34.92,25.34,29.91,67.42,1.92,189.9,100.95,5.58
2010,3,31,34.5,26.04,30.05,66.63,2.5,204.8,100.96,0.02
2010,4,1,36.23,26.12,31.12,61.84,2.76,167.2,100.87,0.0
2010,4,2,38.71,26.33,32.22,56.79,3.01,129.7,100.81,0.02
2010,4,3,37.82,27.06,31.76,58.13,2.97,157.1,100.88,0.71
2010,4,4,38.23,26.16,31.89,55.96,3.12,175.9,100.88,0.41
2010,4,5,39.76,27.22,33.31,51.96,2.86,179.7,100.72,0.99
2010,4,6,40.29,27.34,33.57,52.58,3.03,186.2,100.74,0.0
2010,4,7,40.86,28.28,34.2,49.02,3.31,169.4,100.85,0.0
2010,4,8,39.79,27.52,33.6,48.29,3.63,160.4,100.92,0.05
2010,4,9,39.37,28.06,33.49,49.27,2.91,194.0,100.77,0.0
2010,4,10,40.33,27.44,33.62,48.14,3.89,187.0,100.59,0.0
2010,4,11,39.98,28.19,33.61,50.92,3.85,193.3,100.57,0.0
2010,4,12,40.38,28.4,33.85,50.49,4.46,194.7,100.56,0.0
2010,4,13,41.46,28.25,34.53,48.31,3.48,183.4,100.64,0.01
2010,4,14,41.47,28.05,34.19,45.39,4.52,145.5,100.72,0.06
2010,4,15,38.03,28.15,32.02,58.53,3.29,140.9,100.81,4.73
2010,4,16,35.17,27.28,31.22,60.94,2.27,149.0,100.91,0.98
2010,4,17,34.09,26.96,30.05,63.74,2.02,122.0,101.01,1.27
2010,4,18,35.86,26.94,30.95,62.78,1.52,309.3,100.91,3.9
2010,4,19,34.44,27.28,30.61,64.85,2.48,179.5,100.78,0.42
2010,4,20,32.44,27.11,29.52,72.27,2.73,201.1,100.71,1.84
2010,4,21,33.98,26.46,30.08,69.53,2.26,199.1,100.71,0.02
2010,4,22,35.64,26.68,30.99,66.31,2.94,195.4,100.77,1.54
2010,4,23,37.69,26.92,32.33,59.89,2.76,152.2,100.81,1.07
2010,4,24,38.71,26.83,32.61,54.59,2.72,126.8,100.86,0.1
2010,4,25,40.39,27.35,33.65,47.57,2.66,152.1,100.82,0.04
2010,4,26,41.18,27.5,34.05,47.49,3.32,165.1,100.94,1.33
2010,4,27,38.34,28.8,33.13,51.89,2.56,161.5,101.0,0.56
2010,4,28,34.91,27.8,30.92,62.91,2.66,207.3,100.98,3.12
2010,4,29,36.28,28.03,31.81,58.28,2.11,165.6,100.88,0.01
2010,4,30,37.03,28.37,32.26,55.83,2.28,168.1,100.88,0.33
2010,5,1,31.69,26.04,29.04,66.11,3.06,77.8,100.95,2.48
2010,5,2,37.76,25.16,31.29,64.3,1.55,136.9,100.76,3.7
2010,5,3,34.47,25.96,29.9,66.63,3.74,125.0,100.65,1.84
2010,5,4,35.51,25.63,29.62,73.09,2.14,221.7,100.55,11.33
2010,5,5,38.34,25.37,31.52,64.16,2.47,213.8,100.44,0.05
2010,5,6,37.95,27.13,32.35,62.86,2.27,217.1,100.45,0.0
2010,5,7,40.63,27.27,33.56,58.03,2.42,205.2,100.39,0.0
2010,5,8,39.39,27.68,33.32,59.65,2.4,202.9,100.31,3.13
2010,5,9,38.35,27.97,33.11,60.19,2.29,202.8,100.29,0.03
2010,5,10,38.09,28.35,33.24,58.56,2.31,205.9,100.32,0.25
2010,5,11,36.97,28.24,32.75,58.9,2.41,148.2,100.46,0.89
2010,5,12,37.3,28.39,32.31,60.28,2.75,140.0,100.56,2.97
2010,5,13,36.16,27.3,31.75,63.06,2.59,158.0,100.56,0.64
2010,5,14,34.16,28.48,30.97,65.95,2.33,131.9,100.49,0.59
2010,5,15,37.77,27.33,31.83,63.4,2.11,147.8,100.45,1.66
2010,5,16,39.79,26.68,33.12,59.26,3.08,157.9,100.49,0.94
2010,5,17,40.44,28.21,33.72,52.06,2.96,118.8,100.63,0.52
2010,5,18,39.93,29.06,33.81,55.05,1.96,181.5,100.65,1.31
2010,5,19,35.35,29.11,31.75,62.34,1.63,210.2,100.74,0.25
2010,5,20,39.44,28.12,33.25,54.26,2.89,177.5,100.72,0.15
2010,5,21,40.28,27.6,33.33,55.74,4.05,201.3,100.7,2.95
2010,5,22,35.69,27.26,30.83,66.26,3.72,227.7,100.72,2.17
2010,5,23,37.48,25.96,31.35,63.48,3.83,256.5,100.57,0.8
2010,5,24,35.44,26.81,30.92,68.68,3.54,252.9,100.52,1.61
2010,5,25,34.98,26.81,30.31,72.86,3.6,246.0,100.56,5.01
2010,5,26,32.97,25.95,28.89,79.29,3.44,229.3,100.68,4.03
2010,5,27,33.41,24.88,28.94,75.96,3.1,224.6,100.71,4.88
2010,5,28,35.11,25.87,29.51,76.43,3.82,210.7,100.77,9.1
2010,5,29,37.19,25.93,30.86,67.91,3.4,228.7,100.72,0.04
2010,5,30,36.11,26.32,30.72,67.64,3.55,219.9,100.72,0.17
2010,5,31,38.46,25.93,31.57,64.36,3.75,231.8,100.67,0.67
2010,6,1,38.35,26.18,31.57,66.65,3.53,234.9,100.62,1.3
2010,6,2,35.0,26.94,30.44,75.13,3.64,237.1,100.66,2.98
2010,6,3,36.19,26.78,30.8,70.7,3.32,232.6,100.75,0.72
2010,6,4,37.15,26.16,30.93,69.77,3.17,235.9,100.72,2.58
2010,6,5,35.56,26.52,30.3,71.79,3.58,245.3,100.6,1.35
2010,6,6,32.78,25.77,28.92,80.38,2.96,211.9,100.63,2.77
2010,6,7,34.15,25.92,29.34,76.62,3.05,216.7,100.7,3.82
2010,6,8,32.37,25.93,28.84,79.71,3.62,218.1,100.72,15.99
2010,6,9,31.56,25.8,28.17,84.27,2.24,212.8,100.73,36.33
2010,6,10,34.94,24.73,29.25,74.66,1.85,213.2,100.76,13.6
2010,6,11,33.37,25.68,29.52,75.56,1.79,207.7,100.75,0.03
2010,6,12,33.87,26.77,29.86,73.93,1.59,312.6,100.76,0.23
2010,6,13,33.77,26.36,29.86,73.52,2.0,211.8,100.76,0.82
2010,6,14,34.9,26.48,30.09,71.44,2.19,223.4,100.79,0.63
2010,6,15,31.22,26.12,28.54,79.42,2.56,230.0,100.77,3.7
2010,6,16,33.68,25.39,29.32,75.59,2.63,224.1,100.72,0.83
2010,6,17,33.39,26.16,29.27,78.35,3.87,222.3,100.71,1.27
2010,6,18,33.38,26.19,29.12,76.0,3.42,245.1,100.79,0.73
2010,6,19,31.55,25.44,27.97,81.98,3.1,262.0,100.77,4.13
2010,6,20,30.95,24.73,27.6,83.25,2.18,239.9,100.63,20.9
2010,6,21,30.52,24.79,27.31,88.49,4.01,180.6,100.53,37.27
2010,6,22,30.56,25.31,27.42,87.63,4.52,170.6,100.62,6.34
2010,6,23,30.76,25.46,27.61,86.43,3.92,198.4,100.78,0.29
2010,6,24,31.51,25.19,27.8,85.77,3.65,217.3,100.63,0.63
2010,6,25,31.32,24.91,27.88,86.06,2.99,221.9,100.52,2.74
2010,6,26,31.57,25.46,28.09,86.26,3.28,226.8,100.59,2.63
2010,6,27,31.61,25.02,27.77,84.97,3.26,226.8,100.66,1.64
2010,6,28,32.18,24.31,28.14,82.16,2.52,236.8,100.55,6.11
2010,6,29,31.04,24.9,27.64,86.55,3.1,227.4,100.6,15.42
2010,6,30,31.88,24.6,28.06,82.57,2.77,201.8,100.64,0.45
2010,7,1,30.57,25.21,27.42,86.52,3.17,204.0,100.65,3.34
2010,7,2,30.72,24.85,27.13,85.22,3.01,184.5,100.73,2.62
2010,7,3,32.2,24.47,27.88,81.51,2.88,187.1,100.81,0.95
2010,7,4,30.33,24.29,26.98,85.08,2.59,171.4,100.94,9.61
2010,7,5,31.68,24.04,27.7,80.67,1.87,186.5,100.86,1.41
2010,7,6,32.62,24.51,28.24,79.24,2.95,193.6,100.84,0.17
2010,7,7,32.59,24.35,28.48,79.25,2.16,216.1,100.83,1.37
2010,7,8,33.12,24.56,28.62,78.55,2.76,225.2,100.74,0.04
2010,7,9,31.1,25.38,27.76,81.93,3.39,214.2,100.71,0.22
2010,7,10,32.64,24.36,28.29,79.57,3.06,198.6,100.75,0.04
2010,7,11,32.82,25.07,28.65,77.71,3.23,212.7,100.78,0.09
2010,7,12,31.82,24.82,27.99,81.59,2.74,209.3,100.72,1.05
2010,7,13,32.38,24.94,28.11,79.64,2.75,222.1,100.59,0.27
2010,7,14,31.77,24.44,27.82,81.99,3.14,208.8,100.53,3.32
2010,7,15,31.23,24.6,27.57,83.19,2.98,206.2,100.53,0.47
2010,7,16,33.55,24.69,28.41,78.49,3.66,221.3,100.47,0.21
2010,7,17,31.34,25.28,27.83,81.71,3.34,213.1,100.67,1.35
2010,7,18,32.65,24.66,28.05,80.57,3.57,209.8,100.8,4.01
2010,7,19,33.33,24.31,28.56,77.3,3.3,208.5,100.75,0.55
2010,7,20,32.84,24.48,28.49,78.73,2.38,219.5,100.71,4.09
2010,7,21,32.32,25.27,28.3,81.44,3.49,221.4,100.69,1.93
2010,7,22,32.44,24.77,28.1,81.89,3.53,226.9,100.64,1.18
2010,7,23,31.75,25.16,27.82,80.85,4.43,231.9,100.58,0.75
2010,7,24,30.35,24.37,26.98,84.13,3.65,239.4,100.55,9.24
2010,7,25,29.7,24.2,26.93,84.61,2.94,264.2,100.42,20.47
2010,7,26,28.76,24.98,26.46,88.12,2.93,303.7,100.4,1.07
2010,7,27,29.77,25.07,27.0,88.43,3.12,219.7,100.53,1.96
2010,7,28,30.61,25.04,27.19,87.25,4.16,190.7,100.73,1.59
2010,7,29,32.02,24.77,27.85,82.87,3.17,218.5,100.74,4.95
2010,7,30,31.98,24.73,27.82,79.24,3.74,237.1,100.78,0.08
2010,7,31,31.76,24.22,27.7,81.96,2.65,215.9,100.75,2.31
2010,8,1,30.63,24.68,27.12,84.74,4.13,215.8,100.78,15.56
2010,8,2,29.73,24.25,26.36,88.21,4.96,191.6,100.76,15.14
2010,8,3,30.48,24.37,27.24,84.11,3.26,226.4,100.67,0.01
2010,8,4,31.85,24.14,27.64,81.03,3.45,244.4,100.64,0.3
2010,8,5,32.4,24.34,27.98,80.36,3.25,280.9,100.66,1.19
2010,8,6,31.0,23.92,27.1,82.36,2.98,258.5,100.66,1.76
2010,8,7,30.13,23.55,26.71,85.29,4.51,245.0,100.49,6.16
2010,8,8,30.98,24.03,26.88,83.02,3.73,240.9,100.43,0.84
2010,8,9,29.0,24.33,26.48,84.6,4.48,223.9,100.47,1.15
2010,8,10,30.81,24.53,27.16,83.93,4.15,227.9,100.52,8.66
2010,8,11,31.36,24.21,27.42,85.16,3.85,214.3,100.62,0.6
2010,8,12,31.18,24.61,27.74,83.36,2.33,216.4,100.72,0.67
2010,8,13,31.23,24.84,27.87,82.1,2.05,253.8,100.69,1.06
2010,8,14,31.56,24.57,27.94,81.61,1.54,237.4,100.7,13.0
2010,8,15,31.42,24.82,27.8,83.38,1.8,217.8,100.82,7.9
2010,8,16,30.53,24.72,27.68,84.65,1.57,217.3,100.82,12.31
2010,8,17,32.02,24.79,28.23,80.62,1.78,209.3,100.66,0.77
2010,8,18,31.63,24.86,28.35,79.63,1.1,187.1,100.68,1.88
2010,8,19,31.18,25.0,27.86,80.04,1.11,176.6,100.76,3.04
2010,8,20,30.98,24.29,27.1,83.93,2.26,172.0,100.78,12.73
2010,8,21,30.99,23.86,27.07,84.25,3.08,215.3,100.67,3.48
2010,8,22,29.6,24.3,26.36,89.39,3.38,217.8,100.59,10.64
2010,8,23,29.0,23.92,25.93,90.32,3.13,225.4,100.5,11.3
2010,8,24,29.2,23.61,26.16,86.63,4.29,214.4,100.65,12.32
2010,8,25,32.09,23.8,27.52,82.71,2.98,201.2,100.85,0.05
2010,8,26,32.56,24.03,27.94,81.77,2.31,232.7,100.83,0.96
2010,8,27,30.74,24.39,26.84,85.85,3.18,241.5,100.75,5.49
2010,8,28,30.26,23.8,26.7,86.66,3.42,237.2,100.69,5.02
2010,8,29,30.08,24.06,26.65,85.95,3.35,215.2,100.83,6.47
2010,8,30,31.15,23.41,27.03,83.46,3.18,242.3,100.72,0.08
2010,8,31,32.36,23.61,27.68,83.05,3.41,248.6,100.54,2.66
2010,9,1,31.32,24.57,27.76,85.79,2.24,237.5,100.52,25.65
2010,9,2,30.77,25.33,27.48,87.27,3.17,217.4,100.59,2.9
2010,9,3,29.71,24.83,26.72,90.45,3.8,212.0,100.64,17.98
2010,9,4,29.42,24.28,26.38,89.55,3.6,220.7,100.71,11.01
2010,9,5,31.42,23.19,27.12,84.71,2.69,235.0,100.72,5.95
2010,9,6,30.47,24.29,27.41,86.04,2.01,246.2,100.63,12.98
2010,9,7,31.31,24.9,27.64,85.93,3.02,208.4,100.6,0.05
2010,9,8,31.59,24.52,27.49,84.49,3.46,191.0,100.77,0.06
2010,9,9,30.89,24.3,27.32,85.85,3.0,211.2,100.82,0.04
2010,9,10,30.83,23.86,27.14,85.57,3.26,204.7,100.73,0.16
2010,9,11,30.82,24.27,27.43,84.69,1.67,222.1,100.75,0.77
2010,9,12,30.35,24.47,27.15,84.5,1.84,242.6,100.82,2.86
2010,9,13,28.43,24.4,26.3,87.9,1.69,212.7,100.75,0.8
2010,9,14,31.44,23.67,27.23,82.19,1.94,225.6,100.73,0.77
2010,9,15,31.83,23.8,28.01,79.14,1.19,261.7,100.72,0.88
2010,9,16,27.28,24.41,25.8,89.76,2.37,2.7,100.73,16.05
2010,9,17,28.89,23.92,25.83,91.15,3.25,145.5,100.65,11.04
2010,9,18,30.42,23.44,26.79,85.61,2.11,173.3,100.7,9.16
2010,9,19,31.11,24.44,27.32,85.97,2.23,182.7,100.65,11.7
2010,9,20,31.85,24.28,27.8,82.96,2.19,211.7,100.63,3.04
2010,9,21,30.9,24.27,27.73,82.7,1.62,206.0,100.68,0.53
2010,9,22,30.39,24.71,27.28,86.57,2.25,193.0,100.66,0.04
2010,9,23,31.73,24.36,27.74,84.01,2.44,177.2,100.72,0.01
2010,9,24,31.85,24.54,27.98,82.27,1.6,192.4,100.77,0.34
2010,9,25,31.04,24.93,27.76,82.85,1.14,235.0,100.83,2.08
2010,9,26,29.63,25.04,26.96,84.85,1.84,169.7,100.86,1.46
2010,9,27,31.13,24.37,27.58,82.8,1.48,176.7,100.82,2.98
2010,9,28,30.15,24.86,27.36,84.73,0.97,174.3,100.82,2.87
2010,9,29,31.01,24.17,27.29,83.99,2.06,93.3,100.76,1.06
2010,9,30,32.04,23.79,27.69,81.21,2.03,39.6,100.61,5.64
2010,10,1,31.77,24.08,27.73,80.93,1.52,62.9,100.44,7.11
2010,10,2,27.67,24.7,26.06,89.59,3.31,307.3,100.35,5.32
2010,10,3,28.17,24.73,26.23,92.51,3.74,245.2,100.3,39.02
2010,10,4,29.52,24.36,26.49,89.09,3.55,211.2,100.53,16.68
2010,10,5,29.42,24.45,26.44,90.87,2.83,186.1,100.69,19.91
2010,10,6,29.44,23.68,26.53,88.21,1.88,283.4,100.81,0.05
2010,10,7,30.66,23.82,26.85,85.09,2.47,244.4,100.83,0.16
2010,10,8,31.72,23.74,27.35,83.46,2.18,207.3,100.77,0.33
2010,10,9,31.3,24.68,27.75,83.09,2.2,251.7,100.62,2.61
2010,10,10,29.21,24.94,26.61,90.57,2.69,270.4,100.59,16.72
2010,10,11,28.13,23.87,25.77,93.06,2.07,216.6,100.64,52.06
2010,10,12,30.04,24.3,26.53,89.53,4.09,203.8,100.66,9.36
2010,10,13,29.86,24.18,26.59,86.21,1.4,196.7,100.65,5.58
2010,10,14,28.23,24.12,25.89,91.78,2.87,264.3,100.52,11.22
2010,10,15,28.36,23.17,25.36,92.04,3.95,240.7,100.44,13.25
2010,10,16,29.9,22.9,25.87,87.52,4.32,218.6,100.51,1.74
2010,10,17,29.66,23.7,26.36,89.6,2.66,199.7,100.63,1.47
2010,10,18,29.13,23.8,26.1,89.39,2.58,216.2,100.77,2.44
2010,10,19,29.31,23.0,26.06,88.77,2.67,273.5,100.78,4.25
2010,10,20,28.21,23.89,25.86,92.36,2.23,307.6,100.7,5.79
2010,10,21,30.36,24.39,26.6,84.55,2.97,310.6,100.56,2.72
2010,10,22,31.04,23.16,26.78,82.79,2.31,292.5,100.58,0.56
2010,10,23,31.2,23.85,27.67,81.01,1.52,293.8,100.6,0.3
2010,10,24,31.42,23.94,27.73,82.47,1.73,276.9,100.56,0.37
2010,10,25,30.25,24.94,27.3,86.89,1.55,158.7,100.65,0.94
2010,10,26,29.47,24.27,26.83,89.43,2.49,145.6,100.81,3.28
2010,10,27,31.24,24.62,27.24,84.27,1.84,341.4,100.82,0.61
2010,10,28,28.9,24.28,26.11,88.07,2.99,20.2,100.88,0.88
2010,10,29,29.65,23.26,25.76,82.27,4.83,6.9,100.94,0.02
2010,10,30,26.12,21.04,23.23,85.66,5.32,358.6,101.04,0.32
2010,10,31,26.78,19.59,22.96,86.07,5.61,355.1,100.93,0.14
2010,11,1,29.44,20.85,24.94,87.62,4.4,18.7,100.63,1.44
2010,11,2,29.61,23.83,26.26,89.64,3.68,52.3,100.7,3.0
2010,11,3,29.48,23.64,25.95,88.28,3.86,24.0,100.83,1.2
2010,11,4,29.49,21.57,25.19,83.06,3.58,359.3,100.85,0.02
2010,11,5,28.44,20.83,24.44,84.04,3.48,4.0,100.89,0.02
2010,11,6,29.9,22.1,25.48,85.02,3.86,357.1,100.82,0.63
2010,11,7,29.67,22.9,25.83,88.87,3.25,19.7,100.87,7.69
2010,11,8,26.71,23.97,25.07,93.54,4.49,357.8,100.89,18.29
2010,11,9,27.7,23.73,25.0,91.48,3.24,26.7,101.04,2.05
2010,11,10,27.82,22.94,25.0,89.72,2.54,15.2,100.99,4.71
2010,11,11,29.66,22.88,25.94,87.84,2.9,5.0,100.85,1.88
2010,11,12,30.46,22.56,26.44,81.87,3.24,355.3,100.61,0.07
2010,11,13,30.45,23.55,26.75,82.68,2.94,345.2,100.73,0.36
2010,11,14,29.94,23.74,26.51,86.74,2.44,52.2,100.94,3.15
2010,11,15,29.06,23.9,25.88,90.44,2.04,102.8,101.04,24.36
2010,11,16,30.18,22.49,26.38,80.24,2.09,14.7,100.9,6.15
2010,11,17,30.58,22.78,26.72,83.22,2.46,59.4,100.88,3.32
2010,11,18,29.07,24.05,26.32,88.3,1.69,75.5,100.88,6.32
2010,11,19,29.16,23.61,26.14,88.74,2.32,62.9,100.81,5.76
2010,11,20,27.61,22.74,25.12,89.07,2.43,51.5,100.72,1.83
2010,11,21,29.98,22.89,26.68,82.05,1.44,42.3,100.64,1.45
2010,11,22,29.99,23.74,26.62,85.81,1.78,78.3,100.6,4.68
2010,11,23,29.3,24.3,26.71,86.2,1.66,94.6,100.69,3.89
2010,11,24,30.2,23.14,26.78,80.73,2.1,27.8,100.79,1.0
2010,11,25,30.29,22.73,26.02,82.92,3.42,43.2,100.86,0.8
2010,11,26,30.07,20.92,25.47,83.56,3.35,51.0,100.79,0.25
2010,11,27,30.21,22.28,25.78,83.62,2.92,58.3,100.78,0.42
2010,11,28,30.62,23.73,26.57,84.96,2.58,49.2,100.79,0.89
2010,11,29,28.95,23.88,25.99,90.3,2.97,46.8,100.78,4.2
2010,11,30,29.52,23.38,25.94,88.8,3.36,42.8,100.7,8.69
